Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_MN_HAND_GRENADE_WEST,M67 Frag Grenade,M67 Frag Grenade,Grenade frag. M67,Granada de frag. M67,Granata a framm. M67,M67-Splittergranate,Оск. граната M67,Granat odł. M67,Tříštivý granát M67,M67 repeszgránát,M67破片手榴弾
STR_DSS_HANDGRENADE_WEST,Anti-personnel timed hand grenade,Anti-personnel timed hand grenade,Grenade frag. M67,Granada de frag. M67,Granata a frammentazione antiuomo a orologeria,Handgranate mit Zeitzünder,Ручная граната с таймером,Ręczny granat odłamkowy z zapalnikiem czasowym,Protipěchotní časovaný ruční granát,Gyalogság-elleni időzített kézigránát,Anti-personnel timed hand grenade
STR_DN_MODE_SEMIAUTO,Semi,Semi,Semi,Semi,Semi,Halbautom.,Одиночн.,Półaut.,Poloaut.,Egyes,セミ
STR_DN_MODE_BURST,Burst,Burst,Rafale,Ráfagas,Raffica,Salve,Очередь,Seria,Dávka,Rövid sorozat,爆発
STR_DN_MODE_FULLAUTO,Full,Full,Auto,Completa,Autom.,Voll,Автомат.,Automat.,Automat.,Sorozatlövés,フル
STR_DN_M203,M203 Launcher,M203 Launcher,Lance-grenades M203,Lanzador de M203,Lanciagranate M203,M203 Granatwerfer,Гранатомет M203,M203 granatnik,Granátomet M203,M203 gránátvető,M203 Launcher
STR_DN_GRENADE,Grenade,Grenade,Grenade,Granada,Granata,Granate,Граната,Granat,Granát,Gránát,グレネード
STR_DSS_M240,Medium machine gun <br/>Caliber: 7.62x51mm NATO,Medium machine gun <br/>Caliber: 7.62x51mm NATO,Mitrailleuse moyenne <br/>Calibre : 7.62x51 mm OTAN,"Ametralladora mediana <br/>Calibre: 7,62x51 mm OTAN","Mitragliatrice media <br/>Calibro: 7,62x51 mm NATO","Mittleres Maschinengewehr <br/>Kaliber: 7,62x51mm NATO",Средний пулемет <br/>Патрон: 7.62x51мм НАТО,"Średni karabin maszynowy <br/>Kaliber: 7,62x51mm NATO","Střední kulomet <br/>Kalibr: 7,62x51mm NATO",Közepes géppuska <br/> Kaliber: 7.62x51mm NATO,Medium machine gun <br/>Caliber: 7.62x51mm NATO
STR_DSS_M107,Anti-materiel sniper rifle <br/>Caliber: 12.7x99 mm,Anti-materiel sniper rifle <br/>Caliber: 12.7x99 mm,Fusil sniper anti-matériel <br/>Calibre : 12.7x99 mm,"Rifle de francotirador antimaterial <br/>Calibre: 12,7x99 mm","Fucile da cecchino anti-materiale <br/>Calibro: 12,7x99 mm","Panzerbrechendes Scharfschützengewehr <br/>Kaliber: 12,7x99 mm",Крупнокалиберная снайперская винтовка <br/>Патрон: 12.7х99 мм,"Snajperski karabin przeciwsprzętowy <br/>Kaliber: 12,7x99 mm","Velkorážná odstřelovací puška <br/>Kalibr: 12,7x99 mm",Nehéz mesterlövész puska <br/> Kaliber: 12.7x99mm NATO,Anti-materiel sniper rifle <br/>Caliber: 12.7x99 mm
STR_DN_THROW,Throw,Throw,Lancer,Lanzar,Lanciare,Werfen,Метнуть,Rzut,Vrhnout,Elhajít,投げる
STR_DN_STONE,Stone,Stone,Pierre,Piedra,Pietra,Stein,Камень,Kamień,Kámen,Kő,石
STR_MN_SMOKE,Smoke Grenade,Smoke Grenade,Grenade fumigène,Granada de humo,Granata fumogena,Rauchgranate,Дымовая граната,Granat dymny,Kouřový granát,Füstgránát,スモーク・グレネード
STR_DN_PUT,Put,Put,Placer,Colocar,Piazzare,Legen,Положить,Połóż,Položit,Elhelyez,置く
STR_DN_TIME_BOMB,Time bomb,Time bomb,Bombe retard.,Bomba relojería,Bomba a orolog.,Zeitbombe,Бомба с таймером,Bomba czasowa,Časovaná bomba,Időzített bomba,時限爆弾
STR_DN_PIPE_BOMB,Satchel Charges,Satchel Charges,Charges en sacoche,Cargas concentradas,Cariche esplosive,Sprengladungen,Взрывпакет,Ładunki wybuchowe,Nálože plastické trhaviny,Rádiós Bomba,梱包爆薬
STR_DN_GP25,GP-25,GP-25,GP-25,GP-25,GP-25,GP-25,ГП-25,GP-25,GP-25,GP-25,GP-25
STR_DN_MINE,Mine,Mine,Mine,Mina,Mina,Mine,Мина,Mina,Mina,Akna,地雷
STR_DSS_AK74,Assault rifle<br/>Caliber: 5.45x39mm,Assault rifle<br/>Caliber: 5.45x39mm,Fusil d'assaut<br/>Calibre : 5.45x39 mm,"Fusil de asalto<br/>Calibre: 5,45x39 mm","Fucile d'assalto<br/>Calibro: 5,45x39 mm","Sturmgewehr<br/>Kaliber: 5,45x39mm",Автомат<br/>Патрон: 5.45x39мм,"Karabin szturmowy<br/>Kaliber: 5,45x39mm","Útočná puška<br/>Kalibr: 5,45x39mm",Gépkarabély <br/> Kaliber: 5.45x39mm,Assault rifle<br/>Caliber: 5.45x39mm
STR_DN_AK74,AK-74,AK-74,AK-74,AK-74,AK-74,AK-74,АК-74,AK74,AK-74,AK-74,AK-74
STR_ITEMGPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS
STR_ITEMCOMPASS,Compass,Compass,Boussole,Brújula,Bussola,Kompass,Компас,Kompas,Kompas,Iránytű,コンパス
STR_ITEMRADIO,Radio,Radio,Radio,Radio,Radio,Funkgerät,Радио,Radio,Vysílačka,Rádió,無線
STR_ITEMMAP,Map,Map,Carte,Mapa,Mappa,Karte,Карта,Mapa,Mapa,Térkép,マップ
STR_DN_9K32,Strela-2 9K32,Strela-2 9K32,9K32 Strela-2,Lanzador 9K32 Strela-2,Lanciarazzi 9K32 Strela,9K32 Strela-2,ЗУР 9М32М,Strieła-2 9K32,9K32 Strela,Sztrela-2 9K32,Strela-2 9K32
STR_ITEMWATCH,Watch,Watch,Horloge,Reloj,Orologio,Uhr,Часы,Zegarek,Hodinky,Óra,時計
STR_DN_BINOCULAR,Binoculars,Binoculars,Jumelles,Prismáticos,Binocolo,Fernglas,Бинокль,Lornetka,Dalekohled,Távcső,双眼鏡
STR_DN_MGUN,Machine gun,Machine gun,Mitr.,Ametr.,Mitragliatrice,MG,Пулемет,K. masz.,Kulomet,Géppuska,機関銃
STR_DN_M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9
STR_DSS_BINOCULAR,Binoculars.,Binoculars.,Jumelles,prismáticos,Binocolo,Fernglas,Бинокль,Dalmierz,Dalekohled,Távcső,Binoculars.
STR_DN_MAKAROV,Makarov PM,Makarov PM,Makarov,Makarov PM,Makarov PM,Makarow PM,Пистолет Макарова,Makarov PM,Makarov PM,Makarov PM,Makarov PM
STR_DSS_M9,Semi-automatic pistol <br/>Caliber: 9x19mm,Semi-automatic pistol <br/>Caliber: 9x19mm,Pistolet semi-automatique <br/>Calibre : 9x19 mm,Pistola semiautomática con silenciador <br/>Calibre: 9x19 mm,Pistola semiautomatica <br/>Calibro: 9x19 mm,Halbautomatische Pistole <br/>Kaliber: 9x19mm,Полуавтоматический пистолет <br/>Патрон: 9x19мм,Pistolet samopowtarzalny <br/>Kaliber: 9x19mm,Poloautomatická pistole<br/>Kalibr: 9x19mm,Félautomata pisztoly <br/> Kaliber: 9x19mm,Semi-automatic pistol <br/>Caliber: 9x19mm
STR_MN_10RND_M107,10Rnd. M107,10Rnd. M107,10 c. M107,10Rnd. M107,10Rnd. M107,M107 (10 Sch.),10зрд M107,M107 10 naboi,10náb. M107,10lszr. M107,10Rnd. M107
STR_DSS_8RND_BENELI,Caliber: 12 gauge <br/>Rounds: 8 <br/>Used in: M1014,Caliber: 12 gauge <br/>Rounds: 8 <br/>Used in: M1014,Calibre : 12 <br/>Munitions : 8 <br/>Utilisé avec : M1014,Calibre: calibre 12 <br/>Cargas: 8 <br/>Uso: Saiga 12K,Calibro: 12 <br/>Munizioni: 8 <br/>Si usa in: M1014,Kaliber: 12 Gauge <br/>Schuss: 8 <br/>Eingesetzt in: M1014,Калибр: 12-й <br/>Количество: 8 <br/>Используется в:  М1014,Kaliber: 12 <br/>Naboje: 8 <br/>Używane w: M1014,Kalibr: 12 <br/>Nábojů: 8 <br/> Pro: M1014,Kaliber: 12-es sörétes lőszer <br/>Töltények: 8 <br/> Hozzá tartozó fegyver: M1014,Caliber: 12 gauge <br/>Rounds: 8 <br/>Used in: M1014
STR_DN_10RND_B_12GAUGE_74SLUG,10Rnd. Slug,10Rnd. Slug,Cal. 12 10 c.,"Metralla, 10 crg.",Proiettili 10 muniz.,Geschoss (10 Sch.),10п. пуля,10 naboi do strzelby,10náb. Slug,10lszr. gyöngygolyó,10Rnd. Slug
STR_DSS_100RND_M240,"Caliber: 7.62x51mm NATO <br/>Rounds: 100 <br/>Used in: M240, Mk 48 Mod 0","Caliber: 7.62x51mm NATO <br/>Rounds: 100 <br/>Used in: M240, Mk 48 Mod 0","Calibre : 7.62x51 mm OTAN <br/>Munitions : 100 <br/>Utilisé avec : M240, Mk 48 Mod 0","Calibre: 7,62x51 mm de la OTAN <br/>Cargas: 100 <br/>Uso: M240, Mk 48 Mod 0","Calibro: 7,62x51 mm NATO <br/>Munizioni: 100 <br/>Si usa in: M240, Mk 48 Mod 0","Kaliber: 7,62x51mm NATO <br/>Schuss: 100 <br/>Eingesetzt in: M240, Mk 48 Mod 0","Патрон: 7.62x51мм НАТО <br/>Количество: 100 <br/>Используется в: M240, Mk 48 Mod 0","Kaliber: 7,62x51mm NATO <br/>Naboje: 100 <br/>Używane w: M240, Mk 48 Mod 0","Kalibr: 7,62x51mm NATO <br/>Nábojů: 100 <br/>Pro: M240, Mk 48 Mod 0","Kaliber: 7.62x51mm NATO <br/> Töltények: 100 <br/> Hozzá tartozó fegyver: M240, Mk 48 Mod 0","Caliber: 7.62x51mm NATO <br/>Rounds: 100 <br/>Used in: M240, Mk 48 Mod 0"
STR_DN_100RND_M240,100Rnd. M240,100Rnd. M240,M240 100 c.,M240 100 crg.,100 muniz. M240,M240 (100 Sch.),100п. М240,100 naboi M240,100náb. M240,100lszr. M240,100Rnd. M240
STR_DSS_8RND_MAKAROV,Caliber: 9x18 mm Makarov <br/>Rounds: 8 <br/>Used in: Makarov,Caliber: 9x18 mm Makarov <br/>Rounds: 8 <br/>Used in: Makarov,Calibre : 9x18 mm Makarov <br/>Munitions : 8 <br/>Utilisé avec : Makarov,Calibre: 9x18 mm Makarov <br/>Cargas: 8 <br/>Uso: Makarov,Calibro: 9x18 mm Makarov <br/>Munizioni: 8 <br/>Si usa in: Makarov,Kaliber: 9x18 mm Makarow <br/>Schuss: 8 <br/>Eingesetzt in: Makarow,"Патрон: 9x18 мм <br/>Количество: 8 <br/>Используется в: ПМ, ПБ",Kaliber: 9x18 mm Makarov <br/>Naboje: 8 <br/>Używane w: Makarov,Kalibr: 9x18 mm Makarov <br/>Nábojů: 8 <br/>Pro: Makarov,Kaliber: 9x18 mm Makarov <br/> Töltények: 8 <br/> Hozzá tartozó fegyver: Makarov,Caliber: 9x18 mm Makarov <br/>Rounds: 8 <br/>Used in: Makarov
STR_DN_8RND_MAKAROV,Makarov Mag.,Makarov Mag.,Charg. Makarov,Carg. Makarov,Caric. Makarov,Makarow-Mag.,Маг. ПМ,Mag. Makarow,Makarov Zás.,Makarov tár,Makarov Mag.
STR_DSS_HANDGRENADE,Hand Grenade,Hand Grenade,Grenade,Granada de mano,Granata,Handgranate,Ручная граната,Granat ręczny,Ruční granát,Kézigránát,Hand Grenade
STR_MN_HAND_GRENADE_EAST,RGO Frag Grenade,RGO Frag Grenade,Grenade frag. RGO,Granada frag. RGO,Granata a framm. RGO,RGO-Splittergranate,РГД-5,Granat odł. RGO,Tříštivý granát RGO,RGO repeszgránát,RGO破片手榴弾
STR_DSS_15RND_M9,Caliber: 9x19 mm Parabellum <br/>Rounds: 15 <br/>Used in: M9,Caliber: 9x19 mm Parabellum <br/>Rounds: 15 <br/>Used in: M9,Calibre : 9x19 mm Parabellum <br/>Munitions : 15 <br/>Utilisé avec : M9,Calibre: 9x19 mm Parabellum <br/>Cargas: 15 <br/>Uso: M9,Calibro: 9x19 mm Parabellum <br/>Munizioni: 15 <br/>Si usa in: M9,Kaliber: 9x19 mm Parabellum <br/>Schuss: 15 <br/>Eingesetzt in: M9,Патрон: 9x19 мм парабеллум <br/>Количество: 15 <br/>Используется в: M9,Kaliber: 9x19 mm Parabellum <br/>Naboje: 15 <br/>Używane w: M9,Kalibr: 9x19 mm Parabellum <br/>Nábojů: 15 <br/>Pro: M9,Kaliber: 9x19 mm Parabellum <br/> Töltények: 15 <br/> Hozzá tartozó fegyver: M9,Caliber: 9x19 mm Parabellum <br/>Rounds: 15 <br/>Used in: M9
STR_DN_15RND_M9,M9 Mag.,M9 Mag.,Charg. M9,Carg. M9,Caric. M9,M9-Mag.,Магазин M9,Mag. M9,M9 Zás.,M9 tár,M9 Mag.
STR_DSS_8RND_MAKAROVSD,Caliber: 9x18 mm Makarov <br/>Rounds: 8 <br/>Used in: Makarov SD,Caliber: 9x18 mm Makarov <br/>Rounds: 8 <br/>Used in: Makarov SD,Calibre : 9x18 mm Makarov <br/>Munitions : 8 <br/>Utilisé avec : Makarov SD,Calibre: 9x18 mm Makarov <br/>Cargas: 8 <br/>Uso: Makarov SD,Calibro: 9x18 mm Makarov <br/>Munizioni: 8 <br/>Si usa in: Makarov SD,Kaliber: 9x18 mm Makarow <br/>Schuss: 8 <br/>Eingesetzt in: Makarow SD,"Патрон: 9x18 мм дозвук. <br/>Количество: 8 <br/>Используется в: ПМ, ПБ",Kaliber: 9x18 mm Makarov <br/>Naboje: 8 <br/>Używane w: Makarov SD,Kalibr: 9x18 mm Makarov <br/>Nábojů: 8 <br/>Pro: Makarov SD,Kaliber: 9x18 mm Makaov <br/> Töltények: 8 <br/> Hozzá tartozó fegyver: Makarov SD,Caliber: 9x18 mm Makarov <br/>Rounds: 8 <br/>Used in: Makarov SD
STR_DN_8RND_MAKAROVSD,MakarovSD Mag.,MakarovSD Mag.,Chargeur Makarov sil.,Carg. de MakarovSD,Caric. Makarov sil.,MakaravSD-Mag.,Маг. ПМ дозвук.,Mag. Makarow SD,MakarovSD Zás.,"Makarov tár, Szub",MakarovSD Mag.
STR_DSS_1RND_STRELA,Range: 800-4200 m <br/>Type: ground-air <br/>Used in: 9K32,Range: 800-4200 m <br/>Type: ground-air <br/>Used in: 9K32,Portée : 800-4200 m <br/>Type : sol-air <br/>Utilisé avec : 9K32,Alcance: 800-4200 m <br/>Tipo: tierra-aire <br/>Uso: 9K32,Portata: 800-4200 m <br/>Tipo: terra-aria <br/>Si usa in: 9K32,Reichweite: 800-4200 m <br/>Typ: Boden-Luft <br/>Eingesetzt in: 9K32,Дальность: 800-4200 м <br/>Тип: земля - воздух <br/>Используется в: ПЗРК 'Стрела-2М',Zasięg: 800-4200 m <br/>Typ: ziemia-powietrze <br/>Używane w: 9K32,Dolet: 800-4200 m <br/>Typ: země-vzduch <br/>Pro: 9K32,Hatótáv: 800-4200 m <br/> Típus: föld-levegő <br/> Hozzá tatozó fegyver: 9K32,Range: 800-4200 m <br/>Type: ground-air <br/>Used in: 9K32
STR_MN_9K32,9K32 Strela,9K32 Strela,9K32 Strela,9K32 Strela,9K32 Strela,9K32 Strela,ЗУР 9М32М,9K32 Strieła,9K32 Strela,9K32 Sztrela,9K32 Strela
STR_DSS_30RND_AK,"Caliber: 5.45x39mm <br/>Rounds: 30 <br/>Used in: AK-74, AK-74 Kobra, AKS-74U, AK-107 and RPK-74","Caliber: 5.45x39mm <br/>Rounds: 30 <br/>Used in: AK-74, AK-74 Kobra, AKS-74U, AK-107 and RPK-74","Calibre : 5.45x39 mm <br/>Munitions : 30 <br/>Utilisé avec : AK-74, AK-74 Kobra, AKS-74U, AK-107 et RPK-74","Calibre: 5,45x39 mm <br/>Cargas: 30 <br/>Uso: AK-74, AK-74 Kobra, AKS-74U, AK-107 y RPK-74","Calibro: 5,45x39 mm <br/>Munizioni: 30 <br/>Si usa in: AK-74, AK-74 Kobra, AKS-74U, AK-107 e RPK-74","Kaliber: 5,45x39mm <br/>Schuss: 100 <br/>Eingesetzt in: AK-74, AK-74 Kobra, AKS-74U, AK-107 und RPK-74","Патрон: 5.45x39 мм <br/>Количество: 30 <br/>Используется в: АК-74, АКС-74, АКС-74У, АК-107, РПК-74","Kaliber: 5,45x39mm <br/>Naboje: 30 <br/>Używane w: AK-74, AK-74 Kobra, AKS-74U, AK-107 i RPK-74","Kalibr: 5,45x39mm <br/>Nábojů: 30 <br/>Pro: AK-74, AK-74 Kobra, AKS-74U, AK-107 a RPK-74","Kaliber: 5.45x39mm <br/> Töltények: 30 <br/> Hozzá tartozó fegyver: AK-74, AK-74 Kobra, AKS-74U, AK-107 and RPK-74","Caliber: 5.45x39mm <br/>Rounds: 30 <br/>Used in: AK-74, AK-74 Kobra, AKS-74U, AK-107 and RPK-74"
STR_DN_30RND_AK,30Rnd. AK,30Rnd. AK,AK 30 c.,AK 30 crg.,30 muniz. AK,AK (30 Sch.),30п. АК,30 naboi AK,30náb. AK,30lszr. AK,30Rnd. AK
STR_DN_STATICWEAPONS,Weapons,Weapons,Armement,Armas,Armi,Waffen,Оружие,Uzbrojenie,Zbraně,Fegyverek,武器
STR_DN_WARFAREBMGNEST,MG Nest,MG Nest,Nid mitr.,Nido MG,Nido mitragliatrici,MG-Nest,Пулемет,Gniazdo KM,Kulometné hnízdo,Géppuska fészek,MG Nest
STR_DN_WARFAREBMGNEST_PK,MG Nest (PK),MG Nest (PK),Nid mitr. (PK),Nido MG (PK),Nido mitragliatrici (PK),MG-Nest (PK),Пулемет (ПК),Gniazdo KM (PK),Kulometné hnízdo (PKM),Géppuska fészek (PK),MG Nest (PK)
STR_ACTION_PUTBOMB,Put %1 (%2 left),Put %1 (%2 left),Placer %1 (%2 rest.),Colocar %1 (quedan %2),Metti %1 (rimaste: %2),%1 platzieren (%2 verfügbar),Установить: %1 (осталось: %2),Połóż %1 (zostało %2),Položit %1 (%2 zbývá),%1 elhelyezése (%2 maradt),%1を置く（残り%2）
STR_DN_STATICMORTAR,Mortar,Mortar,Mortier,Mortero,Mortaio,Mörser,Миномет,Moździerz,Minomet,Aknavető,Mortar
STR_DN_STATICMORTARS,Mortars,Mortars,Mortiers,Morteros,Mortai,Mörser,Минометы,Moździerze,Minomety,Aknavetők,Mortars
STR_DN_STATICSEARCHLIGHT,Search Light,Search Light,Projecteur,Linterna,Proiettore,Suchscheinwerfer,Прожектор,Reflektor,Světlomet,Keresőfény,Search Light
STR_DN_STATICWEAPON,Weapon,Weapon,Arme,Arma,Arma,Waffe,Оружие,Broń,Zbraň,Fegyver,武器
STR_DN_HE_GP25,GP-25 HE,GP-25 HE,GP-25 HE,GP-25 HE,GP-25 HE,GP-25 HE,ГП-25,GP-25 HE,GP-25 HE,GP-25 HE,GP-25 HE
STR_DN_HORN,Horn,Horn,Avertisseur,Bocina,Clacson,Hupe,Звуковой сигнал,Klakson,Klakson,Kürt,ホーン
STR_MN_PIPE_BOMB,Satchel Charges,Satchel Charges,Charges en sacoche,Cargas concentradas,Cariche esplosive,Sprengladungen,Взрывчатка,Ładunki wybuchowe,Nálože plastické trhaviny,Rádiós Bomba,梱包爆薬
STR_MN_SMOKE_BLUE,Smoke Grenade (Blue),Smoke Grenade (Blue),Grenade fumigène (bleu),Granada de humo (azul),Granata fumogena (blu),Rauchgranate blau,Дымовая граната (син.),Granat dymny (nieb.),Dýmovnice (modrá),Füstgránát (kék),Smoke Grenade (Blue)
STR_DN_FLAREGREEN_GP25,GP-25 Flare Green,GP-25 Flare Green,GP-25 fusée verte,GP-25 verde,GP-25 - fumogeno verde,GP-25 Leuchtkugel grün,ГП-25 Зел. сигн. ракета,GP-25 zielona flara,GP-25 Světlice zelená,GP-25 Fényjelző (zöld),GP-25 Flare Green
STR_DN_FLARERED_GP25,GP-25 Flare Red,GP-25 Flare Red,GP-25 fusée rouge,GP-25 rojo,GP-25 - fumogeno rosso,GP-25 Leuchtkugel rot,ГП-25 Кр. сигн. ракета,GP-25 czerwona flara,GP-25 Světlice červená,GP-25 Fényjelző (vörös),GP-25 Flare Red
STR_DN_FLAREWHITE_GP25,GP-25 Flare White,GP-25 Flare White,GP-25 fusée blanche,GP-25 blanco,GP-25 - fumogeno bianco,GP-25 Leuchtkugel weiß,ГП-25 Бел. сигн. ракета,GP-25 biała flara,GP-25 Světlice bílá,GP-25 Fényjelző (fehér),GP-25 Flare White
STR_DN_FLAREYELLOW_GP25,GP-25 Flare Yellow,GP-25 Flare Yellow,GP-25 fusée jaune,GP-25 amarillo,GP-25 - fumogeno giallo,GP-25 Leuchtkugel gelb,ГП-25 Жел. сигн. ракета,GP-25 żółta flara,GP-25 Světlice žlutá,GP-25 Fényjelző (sárga),GP-25 Flare Yellow
STR_DN_SEARCHLIGHT,Searchlight,Searchlight,Projecteur,Linterna,Riflettore,Suchscheinwerfer,Прожектор,Reflektor,Světlomet,Keresőfény,Searchlight
STR_MN_SVD,SVD Dragunov Mag.,SVD Dragunov Mag.,Charg. SVD Dragunov,Carg. SVD Dragunov,Caric. SVD Dragunov,SVD Dragunov-Mag.,Магазин СВД,Mag. SWD Dragunow,SVD Dragunov Mag.,SzVD Dragunov tár,SVD Dragunov Mag.
STR_DN_STATICAAWEAPON,AA Launcher,AA Launcher,Lanceur AA,Lanzador AA,Lanciarazzi AA,AA-Raketenwerfer,Зенитная установка,Wyrzutnia plot.,Protiletecký raketomet,Légvédelmi rakéta,対空ランチャー
STR_DN_SEARCHLIGHTS,Searchlights,Searchlights,Projecteurs,Linternas,Riflettori,Suchscheinwerfer,Прожекторы,Szperacze,Světlomety,Keresőlámpák,Searchlights
STR_MN_PG7VL,PG-7VL,PG-7VL,PG-7VL,PG-7VL,PG-7VL,PG-7VL,ПГ-7ВЛ,PG-7VL,PG-ZVL,PG-7VL,PG-7VL
STR_MN_PG7V,PG-7V,PG-7V,PG-7V,PG-7V,PG-7V,PG-7V,ПГ-7В,PG-7V,PG-7V,PG-7V,PG-7V
STR_MN_PK,PKM Mag.,PKM Mag.,Charg. PKM,Carg. PKM,Caric. PK,PKM-Mag.,Магазин ПКМ,Mag. PKM,PK zás.,PKM rakasz,PKM Mag.
STR_MN_PG7VR,PG-7VR,PG-7VR,PG-7VR,PG-7VR,PG-7VR,PG-7VR,ПГ-7ВР,PG-7VR,PG-7VR,PG-7VR,PG-7VR
STR_DN_STATICGRENADELAUNCHER,Grenade launcher,Grenade launcher,Lance-grenades,Lanzagranadas,Lanciagranate,Granatwerfer,Гранатомет,Granatnik,Granátomet,Gránátvető,Grenade launcher
STR_DN_STATICCANNONS,Cannons,Cannons,Canons,Cañones,Cannoni,Kanonen,Орудия,Działka,Kanóny,Ágyúk,Cannons
STR_DN_STATICMGWEAPONS,Machine Guns,Machine Guns,Mitrailleuses,Ametralladoras,Mitragliatrici,Maschinengewehre,Пулеметы,Karabiny maszynowe,Kulomety,Géppuskák,機関銃
STR_DN_STATICMGWEAPON,Machine Gun,Machine Gun,Mitrailleuse,Ametralladora,Mitragliatrice,Maschinengewehr,Пулемет,Karabin maszynowy,Kulomet,Géppuska,機関銃
STR_DN_STATICATWEAPON,AT Launcher,AT Launcher,Lanceur AC,Lanzador AT,Lanciarazzi AT,Panzerabwehr-Raketenwerfer,ПТРК,Wyrzutnia ppanc.,Protitankový raketomet,Páncéltörő rakéta,AT Launcher
STR_DN_STATICAAWEAPONS,AA weapons,AA weapons,Armes AA,Armas antiaéreas,Armi AA,Flugabwehrwaffen,Зенитные орудия,Broń plot.,Protiletecké zbraně,Légvédelmi fegyverek,対空兵器
STR_DN_STATICCANNON,Cannon,Cannon,Canon,Cañón,Cannone,Geschütz,Пушка,Działko,Kanón,Ágyú,Cannon
STR_DN_STATICATWEAPONS,AT weapons,AT weapons,Armes AT,Armas antitanque,Armi AT,Panzerabwehrwaffen,ПТ орудия,Broń ppanc.,Protitankové zbraně,Tankelhárító fegyverek,AT weapons
STR_DN_KORD_LOW,KORD Minitripod,KORD Minitripod,KORD mini-trépied,Minitrípode KORD,Minitreppiede KORD,KORD Ministativ,Корд мини-тренога,Mini trójnóg KORD,KORD Minitrojnožka,KORD miniállvány,KORD Minitripod
STR_DN_M1A1,M1A1,M1A1,M1A1,M1A1,M1A1,M1A1,M1A1,M1A1,M1A1,M1A1,M1A1
STR_DN_HMMWVMK,HMMWV (Mk19),HMMWV (Mk19),HMMWV Mk19,HMMWV (Mk19),HMMWV Mk19,HMMWV (Mk19),HMMWV (Mk19) [КМП],HMMWV (Mk19),HMMWV (Mk19),HMMWV (Mk19),HMMWV (Mk19)
STR_DN_HMMWVTOW,HMMWV (TOW),HMMWV (TOW),HMMWV TOW,HMMWV (TOW),HMMWV TOW,HMMWV (TOW),HMMWV (ПТРК 'TOW') [КМП],HMMWV (TOW),HMMWV (TOW),HMMWV (TOW),HMMWV (TOW)
STR_DN_GRAD,BM-21 Grad,BM-21 Grad,BM-21 Grad,BM-21 Grad,BM-21 Grad,BM-21 Grad,БМ-21 'Град',BM-21 Grad,BM-21 Grad,BM-21 Grad,BM-21 Grad
STR_DN_HMMWV50,HMMWV (M2),HMMWV (M2),HMMWV M2,HMMWV (M2),HMMWV M2,HMMWV (M2),HMMWV (M2) [КМП],HMMWV (M2),HMMWV (M2),Humvee (M2),HMMWV (M2)
STR_DN_D30,D-30,D-30,D30,D-30,D30,D-30,Д-30,D-30,D-30,D-30,D-30
STR_DN_DSHKM,DShKM,DShKM,DShKM,DShKM,DShKM,DShKM,ДШКМ,DSzKM,DŠKM,DSKM,DShKMマシンガン
STR_DN_URAL_ZU,Ural (ZU-23),Ural (ZU-23),Ural (ZU-23),Ural (ZU-23),Ural (ZU-23),Ural (ZU-23),Урал-4320 (ЗУ-23-2),Ural (ZU-23),Ural (ZU-23),Ural (ZsU-23),Ural (ZU-23)
STR_DN_WBOATSMALL,Small boat,Small boat,Petit bateau,Barco pequeño,Piccola barca,Kleines Boot,Сломанная лодка,Mała łódź,Malá loď,Kis csónak,Small boat
